date,ball_1,ball_2,ball_3,ball_4,ball_5,mega_ball,mega_plier
12/29/2020,1.0,31.0,35.0,48.0,62.0,19.0,3.0
12/25/2020,17.0,23.0,36.0,69.0,70.0,19.0,2.0
12/22/2020,29.0,53.0,56.0,59.0,67.0,21.0,2.0
12/18/2020,7.0,15.0,25.0,51.0,60.0,5.0,3.0
12/15/2020,1.0,10.0,18.0,20.0,46.0,15.0,2.0
12/11/2020,19.0,31.0,37.0,55.0,67.0,25.0,4.0
12/8/2020,15.0,19.0,33.0,39.0,68.0,25.0,3.0
12/4/2020,3.0,19.0,24.0,44.0,50.0,8.0,3.0
12/1/2020,7.0,33.0,53.0,61.0,65.0,14.0,2.0
11/27/2020,4.0,10.0,27.0,35.0,58.0,10.0,2.0
11/24/2020,9.0,15.0,34.0,61.0,64.0,6.0,2.0
11/20/2020,26.0,33.0,45.0,61.0,68.0,17.0,3.0
11/17/2020,8.0,13.0,35.0,46.0,68.0,16.0,3.0
11/13/2020,6.0,7.0,14.0,28.0,59.0,7.0,2.0
11/10/2020,23.0,45.0,53.0,58.0,62.0,13.0,5.0
11/6/2020,18.0,24.0,27.0,34.0,60.0,2.0,2.0
11/3/2020,7.0,31.0,44.0,45.0,55.0,19.0,3.0
10/30/2020,14.0,19.0,34.0,39.0,59.0,11.0,2.0
10/27/2020,6.0,13.0,34.0,46.0,62.0,1.0,3.0
10/23/2020,18.0,34.0,44.0,60.0,69.0,22.0,2.0
10/20/2020,46.0,54.0,57.0,58.0,66.0,10.0,3.0
10/16/2020,27.0,32.0,50.0,52.0,57.0,12.0,5.0
10/13/2020,11.0,44.0,45.0,46.0,70.0,25.0,2.0
10/9/2020,5.0,11.0,25.0,27.0,64.0,13.0,2.0
10/6/2020,15.0,16.0,18.0,39.0,59.0,17.0,3.0
10/2/2020,9.0,38.0,47.0,49.0,68.0,25.0,2.0
9/29/2020,14.0,39.0,43.0,44.0,67.0,19.0,3.0
9/25/2020,20.0,36.0,37.0,48.0,67.0,16.0,2.0
9/22/2020,36.0,43.0,44.0,55.0,68.0,12.0,4.0
9/18/2020,26.0,29.0,41.0,52.0,64.0,11.0,3.0
9/15/2020,25.0,28.0,38.0,59.0,62.0,22.0,4.0
9/11/2020,3.0,15.0,42.0,48.0,56.0,13.0,2.0
9/8/2020,7.0,10.0,15.0,31.0,57.0,21.0,2.0
9/4/2020,19.0,22.0,24.0,28.0,53.0,25.0,3.0
9/1/2020,15.0,25.0,26.0,38.0,47.0,22.0,4.0
8/28/2020,3.0,9.0,50.0,53.0,64.0,1.0,3.0
8/25/2020,8.0,10.0,15.0,17.0,57.0,12.0,3.0
8/21/2020,11.0,15.0,31.0,42.0,63.0,14.0,2.0
8/18/2020,4.0,18.0,26.0,27.0,58.0,23.0,4.0
8/14/2020,3.0,24.0,29.0,42.0,47.0,13.0,2.0
8/11/2020,8.0,22.0,29.0,43.0,56.0,9.0,4.0
8/7/2020,4.0,44.0,53.0,64.0,70.0,3.0,2.0
8/4/2020,2.0,22.0,30.0,42.0,62.0,20.0,3.0
7/31/2020,12.0,35.0,46.0,48.0,69.0,23.0,2.0
7/28/2020,17.0,20.0,27.0,31.0,34.0,19.0,4.0
7/24/2020,8.0,33.0,39.0,54.0,58.0,17.0,3.0
7/21/2020,14.0,25.0,26.0,41.0,43.0,15.0,3.0
7/17/2020,12.0,13.0,21.0,46.0,57.0,21.0,3.0
7/14/2020,6.0,26.0,55.0,56.0,64.0,22.0,4.0
7/10/2020,10.0,15.0,20.0,49.0,53.0,22.0,5.0
7/7/2020,16.0,20.0,25.0,30.0,43.0,18.0,3.0
7/3/2020,20.0,40.0,44.0,45.0,50.0,24.0,2.0
6/30/2020,9.0,16.0,29.0,37.0,53.0,11.0,2.0
6/26/2020,19.0,33.0,37.0,56.0,57.0,6.0,2.0
6/23/2020,6.0,20.0,37.0,40.0,48.0,15.0,3.0
6/19/2020,11.0,34.0,36.0,52.0,66.0,7.0,2.0
6/16/2020,21.0,23.0,33.0,35.0,42.0,6.0,3.0
6/12/2020,9.0,14.0,57.0,67.0,70.0,2.0,3.0
6/9/2020,1.0,5.0,9.0,10.0,23.0,22.0,2.0
6/5/2020,32.0,35.0,37.0,47.0,55.0,22.0,3.0
6/2/2020,9.0,20.0,23.0,26.0,29.0,8.0,3.0
5/29/2020,10.0,13.0,32.0,41.0,51.0,3.0,2.0
5/26/2020,34.0,52.0,58.0,59.0,62.0,4.0,3.0
5/22/2020,8.0,10.0,20.0,44.0,46.0,18.0,4.0
5/19/2020,8.0,19.0,25.0,36.0,66.0,9.0,2.0
5/15/2020,11.0,17.0,32.0,33.0,46.0,25.0,3.0
5/12/2020,7.0,16.0,27.0,44.0,52.0,5.0,5.0
5/8/2020,5.0,20.0,22.0,61.0,70.0,4.0,2.0
5/5/2020,7.0,13.0,17.0,21.0,45.0,14.0,2.0
5/1/2020,28.0,30.0,31.0,35.0,66.0,14.0,2.0
4/28/2020,13.0,19.0,53.0,54.0,63.0,17.0,3.0
4/24/2020,1.0,27.0,32.0,60.0,67.0,18.0,2.0
4/21/2020,13.0,15.0,24.0,67.0,70.0,17.0,2.0
4/17/2020,13.0,35.0,39.0,46.0,55.0,14.0,4.0
4/14/2020,29.0,47.0,65.0,69.0,70.0,7.0,4.0
4/10/2020,2.0,11.0,21.0,57.0,60.0,13.0,2.0
4/7/2020,25.0,33.0,43.0,51.0,68.0,20.0,2.0
4/3/2020,24.0,38.0,44.0,57.0,58.0,17.0,4.0
3/31/2020,8.0,17.0,51.0,57.0,70.0,2.0,4.0
3/27/2020,3.0,25.0,28.0,50.0,60.0,1.0,4.0
3/24/2020,2.0,8.0,16.0,18.0,31.0,14.0,2.0
3/20/2020,34.0,35.0,41.0,45.0,54.0,5.0,4.0
3/17/2020,20.0,27.0,28.0,58.0,59.0,25.0,3.0
3/13/2020,7.0,22.0,37.0,43.0,44.0,22.0,4.0
3/10/2020,6.0,17.0,48.0,54.0,69.0,12.0,5.0
3/6/2020,15.0,48.0,56.0,58.0,70.0,4.0,4.0
3/3/2020,8.0,12.0,33.0,56.0,64.0,2.0,2.0
2/28/2020,2.0,3.0,14.0,41.0,64.0,17.0,2.0
2/25/2020,2.0,9.0,43.0,49.0,63.0,15.0,2.0
2/21/2020,4.0,7.0,13.0,16.0,60.0,6.0,4.0
2/18/2020,6.0,12.0,39.0,61.0,70.0,4.0,3.0
2/14/2020,10.0,32.0,48.0,54.0,55.0,18.0,5.0
2/11/2020,4.0,6.0,32.0,52.0,64.0,6.0,2.0
2/7/2020,9.0,14.0,27.0,36.0,52.0,4.0,3.0
2/4/2020,32.0,48.0,50.0,51.0,64.0,10.0,2.0
1/31/2020,28.0,31.0,33.0,57.0,62.0,19.0,2.0
1/28/2020,17.0,36.0,47.0,51.0,62.0,21.0,3.0
1/24/2020,3.0,4.0,18.0,23.0,38.0,24.0,4.0
1/21/2020,16.0,18.0,29.0,31.0,37.0,8.0,3.0
1/17/2020,3.0,25.0,30.0,54.0,70.0,9.0,3.0
1/14/2020,9.0,11.0,13.0,31.0,47.0,11.0,2.0
1/10/2020,17.0,27.0,49.0,51.0,66.0,2.0,2.0
1/7/2020,25.0,40.0,41.0,52.0,56.0,21.0,4.0
1/3/2020,37.0,41.0,42.0,53.0,63.0,16.0,2.0
12/31/2019,30.0,44.0,49.0,53.0,56.0,11.0,3.0
12/27/2019,17.0,34.0,40.0,63.0,64.0,24.0,4.0
12/24/2019,27.0,37.0,48.0,63.0,66.0,11.0,2.0
12/20/2019,3.0,20.0,23.0,35.0,60.0,16.0,3.0
12/17/2019,22.0,30.0,53.0,55.0,56.0,16.0,2.0
12/13/2019,17.0,21.0,29.0,39.0,56.0,22.0,3.0
12/10/2019,18.0,31.0,46.0,54.0,61.0,25.0,2.0
12/6/2019,20.0,31.0,40.0,46.0,61.0,20.0,5.0
12/3/2019,23.0,43.0,60.0,63.0,69.0,19.0,2.0
11/29/2019,6.0,8.0,31.0,50.0,65.0,9.0,2.0
11/26/2019,8.0,27.0,29.0,38.0,43.0,13.0,2.0
11/22/2019,7.0,12.0,17.0,49.0,53.0,24.0,4.0
11/19/2019,22.0,43.0,44.0,47.0,66.0,22.0,3.0
11/15/2019,12.0,19.0,34.0,35.0,68.0,20.0,2.0
11/12/2019,19.0,30.0,44.0,56.0,65.0,24.0,2.0
